Parameters: numNests = 50 Pa = 0.25 Pc = 0.6 maxGenerations: 20000 stopCriterion = 20000
Dataset: A-n45-k6, Run time: 180.46, Best Solution Cost: 1087.4726599431274, Optimal Value: 944 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 45, 45
Dataset: A-n45-k6, Run time: 179.77, Best Solution Cost: 1190.2652562430771, Optimal Value: 944 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 45, 45
Dataset: A-n45-k6, Run time: 181.37, Best Solution Cost: 1153.3814075943976, Optimal Value: 944 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 45, 45
Dataset: A-n45-k6, Run time: 181.71, Best Solution Cost: 1022.3532781136281, Optimal Value: 944 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 45, 45
Dataset: A-n45-k6, Run time: 180.60, Best Solution Cost: 1092.8721909053863, Optimal Value: 944 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 45, 45


Dataset: A-n45-k7, Run time: 177.61, Best Solution Cost: 1295.6274048301655, Optimal Value: 1146 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 45, 45
Dataset: A-n45-k7, Run time: 177.95, Best Solution Cost: 1275.908167027363, Optimal Value: 1146 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 45, 45
Dataset: A-n45-k7, Run time: 178.96, Best Solution Cost: 1263.0451071899502, Optimal Value: 1146 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 45, 45
Dataset: A-n45-k7, Run time: 178.14, Best Solution Cost: 1237.6489978281393, Optimal Value: 1146 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 45, 45
Dataset: A-n45-k7, Run time: 178.96, Best Solution Cost: 1308.8125366232828, Optimal Value: 1146 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 45, 45


Dataset: A-n46-k7, Run time: 181.25, Best Solution Cost: 1050.9621364431498, Optimal Value: 914 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 46, 46
Dataset: A-n46-k7, Run time: 183.35, Best Solution Cost: 1035.6947068357151, Optimal Value: 914 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 46, 46
Dataset: A-n46-k7, Run time: 180.81, Best Solution Cost: 1020.4591735018057, Optimal Value: 914 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 46, 46
Dataset: A-n46-k7, Run time: 181.28, Best Solution Cost: 1068.2139343828696, Optimal Value: 914 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 46, 46
Dataset: A-n46-k7, Run time: 183.02, Best Solution Cost: 968.5228941807975, Optimal Value: 914 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 46, 46


Dataset: A-n48-k7, Run time: 184.53, Best Solution Cost: 1235.958349030329, Optimal Value: 1073 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 48, 48
Dataset: A-n48-k7, Run time: 182.02, Best Solution Cost: 1224.6677258161048, Optimal Value: 1073 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 48, 48
Dataset: A-n48-k7, Run time: 180.76, Best Solution Cost: 1190.9757286411077, Optimal Value: 1073 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 48, 48
Dataset: A-n48-k7, Run time: 180.77, Best Solution Cost: 1175.9248273556873, Optimal Value: 1073 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 48, 48
Dataset: A-n48-k7, Run time: 181.26, Best Solution Cost: 1288.1365743425242, Optimal Value: 1073 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 48, 48


Dataset: A-n53-k7, Run time: 198.44, Best Solution Cost: 1213.9963071810535, Optimal Value: 1010 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 53, 53
Dataset: A-n53-k7, Run time: 191.24, Best Solution Cost: 1264.232123462809, Optimal Value: 1010 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 53, 53
Dataset: A-n53-k7, Run time: 187.86, Best Solution Cost: 1307.9210476163728, Optimal Value: 1010 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 53, 53
Dataset: A-n53-k7, Run time: 185.14, Best Solution Cost: 1172.340486896866, Optimal Value: 1010 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 53, 53
Dataset: A-n53-k7, Run time: 182.59, Best Solution Cost: 1112.4865733184613, Optimal Value: 1010 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 53, 53


Dataset: A-n54-k7, Run time: 188.98, Best Solution Cost: 1530.2567338054207, Optimal Value: 1167 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 54, 54
Dataset: A-n54-k7, Run time: 200.64, Best Solution Cost: 1298.2538319966666, Optimal Value: 1167 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 54, 54
Dataset: A-n54-k7, Run time: 183.01, Best Solution Cost: 1434.9601155804462, Optimal Value: 1167 routesGen(gen, min) = 7, 7 numNodes(gen, req) = 54, 54
Dataset: A-n54-k7, Run time: 197.73, Best Solution Cost: 1323.3530212073704, Optimal Value: 1167 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 54, 54
Dataset: A-n54-k7, Run time: 198.07, Best Solution Cost: 1410.7711083277238, Optimal Value: 1167 routesGen(gen, min) = 8, 7 numNodes(gen, req) = 54, 54


Dataset: A-n55-k9, Run time: 214.58, Best Solution Cost: 1336.489470155589, Optimal Value: 1073 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 55, 55
Dataset: A-n55-k9, Run time: 210.98, Best Solution Cost: 1315.1177752529184, Optimal Value: 1073 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 55, 55
Dataset: A-n55-k9, Run time: 222.27, Best Solution Cost: 1235.4160131891645, Optimal Value: 1073 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 55, 55
Dataset: A-n55-k9, Run time: 219.27, Best Solution Cost: 1369.3823649515887, Optimal Value: 1073 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 55, 55
Dataset: A-n55-k9, Run time: 218.15, Best Solution Cost: 1249.579670964505, Optimal Value: 1073 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 55, 55


Dataset: A-n60-k9, Run time: 224.88, Best Solution Cost: 1533.2214351565028, Optimal Value: 1408 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 60, 60
Dataset: A-n60-k9, Run time: 209.38, Best Solution Cost: 1546.3679738843462, Optimal Value: 1408 routesGen(gen, min) = 9, 9 numNodes(gen, req) = 60, 60
Dataset: A-n60-k9, Run time: 225.73, Best Solution Cost: 1539.3542411742055, Optimal Value: 1408 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 60, 60
Dataset: A-n60-k9, Run time: 209.57, Best Solution Cost: 1584.726725163775, Optimal Value: 1408 routesGen(gen, min) = 9, 9 numNodes(gen, req) = 60, 60
Dataset: A-n60-k9, Run time: 210.88, Best Solution Cost: 1648.2347344829404, Optimal Value: 1408 routesGen(gen, min) = 9, 9 numNodes(gen, req) = 60, 60


Dataset: A-n61-k9, Run time: 224.50, Best Solution Cost: 1194.1464015576285, Optimal Value: 1035 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 61, 61
Dataset: A-n61-k9, Run time: 221.82, Best Solution Cost: 1180.2022670465649, Optimal Value: 1035 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 61, 61
Dataset: A-n61-k9, Run time: 221.65, Best Solution Cost: 1228.9437655372114, Optimal Value: 1035 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 61, 61
Dataset: A-n61-k9, Run time: 221.63, Best Solution Cost: 1171.1803730634615, Optimal Value: 1035 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 61, 61
Dataset: A-n61-k9, Run time: 222.00, Best Solution Cost: 1160.3300626479731, Optimal Value: 1035 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 61, 61


Dataset: A-n62-k8, Run time: 202.22, Best Solution Cost: 1475.7423016627472, Optimal Value: 1290 routesGen(gen, min) = 8, 8 numNodes(gen, req) = 62, 62
Dataset: A-n62-k8, Run time: 202.01, Best Solution Cost: 1455.1471104501836, Optimal Value: 1290 routesGen(gen, min) = 8, 8 numNodes(gen, req) = 62, 62
Dataset: A-n62-k8, Run time: 203.36, Best Solution Cost: 1572.4325687152798, Optimal Value: 1290 routesGen(gen, min) = 8, 8 numNodes(gen, req) = 62, 62
Dataset: A-n62-k8, Run time: 202.84, Best Solution Cost: 1576.4520181261917, Optimal Value: 1290 routesGen(gen, min) = 8, 8 numNodes(gen, req) = 62, 62
Dataset: A-n62-k8, Run time: 203.83, Best Solution Cost: 1524.2142011950007, Optimal Value: 1290 routesGen(gen, min) = 8, 8 numNodes(gen, req) = 62, 62


Dataset: A-n63-k10, Run time: 237.88, Best Solution Cost: 1503.2263905926952, Optimal Value: 1315 routesGen(gen, min) = 11, 10 numNodes(gen, req) = 63, 63
Dataset: A-n63-k10, Run time: 235.46, Best Solution Cost: 1561.4970102172729, Optimal Value: 1315 routesGen(gen, min) = 11, 10 numNodes(gen, req) = 63, 63
