,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
42,B-n57-k7,1153,"2-opt, shift-1, swap-2-2",1175.34,1281.67,63.91,3.20,"swap-2-1, shift-1, swap-2-2",1182.79,1278.34,53.88,2.95,0.70
43,B-n57-k9,1598,"2-opt, shift-1, swap-2-2",1694.00,1758.95,45.12,3.34,"swap-2-1, shift-1, swap-2-2",1687.31,1756.47,36.92,3.06,0.89
44,B-n63-k10,1537,"2-opt, shift-1, swap-2-2",1651.33,1737.30,46.41,3.61,"swap-2-1, shift-1, swap-2-2",1638.95,1725.13,49.96,3.31,0.40
45,B-n64-k9,861,"2-opt, shift-1, swap-2-2",956.15,1015.18,43.58,3.57,"swap-2-1, shift-1, swap-2-2",940.57,1019.39,46.39,3.33,0.81
46,B-n66-k9,1374,"2-opt, shift-1, swap-2-2",1396.42,1541.16,71.36,3.54,"swap-2-1, shift-1, swap-2-2",1435.92,1530.37,54.71,3.26,0.54
47,B-n67-k10,1033,"2-opt, shift-1, swap-2-2",1159.30,1231.99,49.89,3.62,"swap-2-1, shift-1, swap-2-2",1169.43,1234.22,66.30,3.35,0.72
48,B-n68-k9,1304,"2-opt, shift-1, swap-2-2",1408.50,1493.22,52.90,3.51,"swap-2-1, shift-1, swap-2-2",1362.60,1479.77,61.31,3.24,0.34
49,B-n78-k10,1266,"2-opt, shift-1, swap-2-2",1381.32,1493.91,59.83,3.81,"swap-2-1, shift-1, swap-2-2",1396.89,1499.98,63.71,3.60,0.72
50,P-n101-k4,681,"2-opt, shift-1, swap-2-2",998.22,1065.53,30.17,3.47,"swap-2-1, shift-1, swap-2-2",1039.32,1130.13,43.90,3.27,0.00
51,P-n16-k8,435,"2-opt, shift-1, swap-2-2",451.34,459.88,7.21,2.23,"swap-2-1, shift-1, swap-2-2",451.34,456.27,5.02,2.20,0.03
52,P-n19-k2,212,"2-opt, shift-1, swap-2-2",220.64,304.85,32.28,1.43,"swap-2-1, shift-1, swap-2-2",238.88,286.93,23.91,1.41,0.04
53, P-n20-k2,220,"2-opt, shift-1, swap-2-2",255.21,319.65,24.68,1.44,"swap-2-1, shift-1, swap-2-2",246.60,285.33,21.64,1.43,0.00
54,P-n21-k2,211,"2-opt, shift-1, swap-2-2",232.56,268.78,18.32,1.51,"swap-2-1, shift-1, swap-2-2",226.39,254.73,16.73,1.54,0.00
55,P-n22-k2,216,"2-opt, shift-1, swap-2-2",280.08,326.28,25.32,1.48,"swap-2-1, shift-1, swap-2-2",255.90,294.25,16.57,1.48,0.00
56,P-n22-k8,603,"2-opt, shift-1, swap-2-2",594.88,617.90,19.57,2.54,"swap-2-1, shift-1, swap-2-2",589.39,609.91,13.58,2.45,0.09
57,P-n23-k8,554,"2-opt, shift-1, swap-2-2",537.94,561.73,14.21,2.62,"swap-2-1, shift-1, swap-2-2",539.73,557.92,14.48,2.47,0.39
58,P-n40-k5.vrp,458,"2-opt, shift-1, swap-2-2",476.65,533.64,24.52,2.46,"swap-2-1, shift-1, swap-2-2",495.64,534.31,27.01,2.25,0.91
59,P-n45-k5,510,"2-opt, shift-1, swap-2-2",567.62,614.93,26.02,2.50,"swap-2-1, shift-1, swap-2-2",569.52,608.16,22.61,2.30,0.25
60,P-n50-k10,696,"2-opt, shift-1, swap-2-2",748.60,800.21,36.67,3.43,"swap-2-1, shift-1, swap-2-2",765.07,797.52,23.71,3.18,0.91
61, P-n50-k7,554,"2-opt, shift-1, swap-2-2",594.16,641.53,23.31,2.88,"swap-2-1, shift-1, swap-2-2",606.69,646.33,28.51,2.68,0.81
62,P-n50-k8,649,"2-opt, shift-1, swap-2-2",672.14,712.62,20.69,3.26,"swap-2-1, shift-1, swap-2-2",656.73,714.43,24.29,2.95,0.88
63,P-n51-k10,745,"2-opt, shift-1, swap-2-2",801.38,847.23,30.96,3.57,"swap-2-1, shift-1, swap-2-2",803.88,840.97,22.89,3.25,0.37
64,P-n55-k10,669,"2-opt, shift-1, swap-2-2",753.45,788.24,17.69,3.49,"swap-2-1, shift-1, swap-2-2",750.86,783.85,18.35,3.17,0.45
65,P-n55-k15,856,"2-opt, shift-1, swap-2-2",996.08,1064.51,31.73,4.52,"swap-2-1, shift-1, swap-2-2",1005.39,1044.60,25.29,4.13,0.05
66,P-n55-k7,524,"2-opt, shift-1, swap-2-2",605.34,656.42,25.94,3.07,"swap-2-1, shift-1, swap-2-2",612.87,663.29,24.91,2.77,0.45
67,P-n55-k8,576,"2-opt, shift-1, swap-2-2",631.71,691.65,35.64,3.04,"swap-2-1, shift-1, swap-2-2",638.27,685.86,27.52,2.71,0.50
68,P-n60-k10,706,"2-opt, shift-1, swap-2-2",809.83,890.47,39.55,3.65,"swap-2-1, shift-1, swap-2-2",819.00,875.49,29.05,3.33,0.14
69,P-n60-k15,905,"2-opt, shift-1, swap-2-2",1067.39,1102.10,29.58,4.52,"swap-2-1, shift-1, swap-2-2",1041.31,1087.25,30.69,4.12,0.07
70,P-n65-k10,792,"2-opt, shift-1, swap-2-2",894.47,945.15,33.98,3.67,"swap-2-1, shift-1, swap-2-2",892.29,935.03,22.86,3.37,0.48
71,P-n70-k10,834,"2-opt, shift-1, swap-2-2",934.99,984.20,28.96,3.91,"swap-2-1, shift-1, swap-2-2",939.58,984.36,24.12,3.57,0.94
72,P-n76-k4,589,"2-opt, shift-1, swap-2-2",792.95,964.21,87.46,3.02,"swap-2-1, shift-1, swap-2-2",822.68,903.77,37.00,2.66,0.00
73,P-n76-k5,631,"2-opt, shift-1, swap-2-2",801.64,932.92,106.58,3.21,"swap-2-1, shift-1, swap-2-2",819.78,929.22,51.77,2.89,0.78
74,A-n32-k5,784,"2-opt, shift-1, swap-2-2",850.88,899.56,32.06,2.36,"swap-1-1, shift-1, swap-2-2",800.35,880.27,37.18,2.17,0.07
75,A-n33-k5,661,"2-opt, shift-1, swap-2-2",680.41,744.42,33.26,2.38,"swap-1-1, shift-1, swap-2-2",678.91,741.06,36.62,2.18,0.67
76,A-n33-k6,742,"2-opt, shift-1, swap-2-2",774.77,833.36,38.57,2.52,"swap-1-1, shift-1, swap-2-2",754.01,818.67,32.73,2.27,0.07
77,A-n34-k5,778,"2-opt, shift-1, swap-2-2",806.18,870.42,37.59,2.40,"swap-1-1, shift-1, swap-2-2",808.89,850.87,27.40,2.19,0.01
78,A-n36-k5,799,"2-opt, shift-1, swap-2-2",873.98,920.48,29.17,2.48,"swap-1-1, shift-1, swap-2-2",852.65,906.25,39.38,2.20,0.08
79,A-n37-k5,669,"2-opt, shift-1, swap-2-2",713.53,779.68,28.65,2.51,"swap-1-1, shift-1, swap-2-2",729.01,798.94,38.78,2.25,0.04
80,A-n37-k6,949,"2-opt, shift-1, swap-2-2",1020.38,1103.09,44.68,2.66,"swap-1-1, shift-1, swap-2-2",981.90,1077.92,41.95,2.36,0.03
81,A-n38-k5,730,"2-opt, shift-1, swap-2-2",792.01,890.65,90.14,2.63,"swap-1-1, shift-1, swap-2-2",789.33,878.73,47.95,2.32,0.73
82,A-n39-k5,822,"2-opt, shift-1, swap-2-2",887.79,989.95,59.89,2.50,"swap-1-1, shift-1, swap-2-2",904.23,977.07,43.09,2.23,0.50
83,A-n39-k6,831,"2-opt, shift-1, swap-2-2",867.61,954.89,37.58,2.56,"swap-1-1, shift-1, swap-2-2",897.27,947.47,36.27,2.40,0.52
84,A-n44-k6,937,"2-opt, shift-1, swap-2-2",1052.62,1165.93,68.59,2.69,"swap-1-1, shift-1, swap-2-2",1019.50,1095.67,33.63,2.55,0.00
85,A-n45-k6,944,"2-opt, shift-1, swap-2-2",1035.13,1104.69,39.66,2.91,"swap-1-1, shift-1, swap-2-2",1067.73,1126.24,41.52,2.71,0.23
86,A-n45-k7,1146,"2-opt, shift-1, swap-2-2",1223.09,1298.41,39.88,2.83,"swap-1-1, shift-1, swap-2-2",1204.85,1272.08,37.21,2.62,0.03
87,A-n46-k7,914,"2-opt, shift-1, swap-2-2",966.08,1061.18,49.34,2.87,"swap-1-1, shift-1, swap-2-2",997.13,1035.67,22.10,2.66,0.03
88,A-n48-k7,1073,"2-opt, shift-1, swap-2-2",1178.59,1241.85,39.35,2.90,"swap-1-1, shift-1, swap-2-2",1180.49,1232.16,31.02,2.68,0.33
89,A-n53-k7,1010,"2-opt, shift-1, swap-2-2",1111.94,1241.96,80.35,3.08,"swap-1-1, shift-1, swap-2-2",1102.42,1211.60,40.93,2.81,0.12
90,A-n54-k7,1167,"2-opt, shift-1, swap-2-2",1279.81,1422.96,67.27,3.03,"swap-1-1, shift-1, swap-2-2",1262.86,1370.01,38.54,2.79,0.00
