,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
42,B-n57-k7,784,"2-opt, shift-1, swap-2-2",1175.338625,1281.667028,63.9093078,3.204666667,"swap-2-1, shift-1, swap-2-2",1182.794559,1278.341969,53.88002092,2.95,0.7035637
43,B-n57-k9,784,"2-opt, shift-1, swap-2-2",1693.995076,1758.949037,45.12307763,3.338666667,"swap-2-1, shift-1, swap-2-2",1687.311606,1756.466003,36.91992323,3.055333333,0.893644387
44,B-n63-k10,784,"2-opt, shift-1, swap-2-2",1651.328151,1737.300717,46.4123556,3.613,"swap-2-1, shift-1, swap-2-2",1638.945354,1725.130313,49.96468819,3.306666667,0.404834722
45,B-n64-k9,784,"2-opt, shift-1, swap-2-2",956.1463398,1015.184978,43.58232001,3.568333333,"swap-2-1, shift-1, swap-2-2",940.5727861,1019.385014,46.3945148,3.329666667,0.813016851
46,B-n66-k9,784,"2-opt, shift-1, swap-2-2",1396.417696,1541.161155,71.35834687,3.540666667,"swap-2-1, shift-1, swap-2-2",1435.921966,1530.366407,54.70761708,3.263333333,0.544006208
47,B-n67-k10,784,"2-opt, shift-1, swap-2-2",1159.295083,1231.991947,49.88647666,3.617333333,"swap-2-1, shift-1, swap-2-2",1169.431539,1234.224739,66.30102629,3.353,0.718887562
48,B-n68-k9,784,"2-opt, shift-1, swap-2-2",1408.498694,1493.218709,52.89936233,3.507,"swap-2-1, shift-1, swap-2-2",1362.604645,1479.769223,61.30718826,3.243666667,0.338856155
49,B-n78-k10,784,"2-opt, shift-1, swap-2-2",1381.324617,1493.912873,59.82803118,3.810666667,"swap-2-1, shift-1, swap-2-2",1396.894239,1499.98146,63.71008944,3.6,0.718887562
50,P-n101-k4,784,"2-opt, shift-1, swap-2-2",998.224199,1065.52802,30.1685113,3.467666667,"swap-2-1, shift-1, swap-2-2",1039.322944,1130.130302,43.89602301,3.273333333,2.37E-05
51,P-n16-k8,784,"2-opt, shift-1, swap-2-2",451.3350802,459.8751803,7.212539274,2.227333333,"swap-2-1, shift-1, swap-2-2",451.3350802,456.2658699,5.018974147,2.196666667,0.028932708
52,P-n19-k2,784,"2-opt, shift-1, swap-2-2",220.6431353,304.8488397,32.2767141,1.425333333,"swap-2-1, shift-1, swap-2-2",238.8777261,286.9290285,23.91021046,1.405,0.040702311
53, P-n20-k2,784,"2-opt, shift-1, swap-2-2",255.2077255,319.6483826,24.67547284,1.443666667,"swap-2-1, shift-1, swap-2-2",246.5992119,285.3292454,21.64193874,1.431333333,4.86E-05
54,P-n21-k2,784,"2-opt, shift-1, swap-2-2",232.5593629,268.7811541,18.32153177,1.506,"swap-2-1, shift-1, swap-2-2",226.3896888,254.7299496,16.73425712,1.543333333,0.004114031
55,P-n22-k2,784,"2-opt, shift-1, swap-2-2",280.0825557,326.2768827,25.32242675,1.482333333,"swap-2-1, shift-1, swap-2-2",255.8950476,294.2498409,16.56729468,1.483666667,4.86E-05
56,P-n22-k8,784,"2-opt, shift-1, swap-2-2",594.8832963,617.9033411,19.57162237,2.536333333,"swap-2-1, shift-1, swap-2-2",589.3916937,609.9096529,13.5830576,2.447,0.093675597
57,P-n23-k8,784,"2-opt, shift-1, swap-2-2",537.9392435,561.7273647,14.21099177,2.624333333,"swap-2-1, shift-1, swap-2-2",539.7336883,557.9178279,14.48020415,2.467,0.393334372
58,P-n40-k5.vrp,784,"2-opt, shift-1, swap-2-2",476.6524583,533.6406794,24.52135278,2.457,"swap-2-1, shift-1, swap-2-2",495.6411386,534.3052849,27.01087978,2.245333333,0.909930768
