,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
79,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, shift-1, double-bridge",1030.090454,1097.603305,45.7508489,3.19373913,0.144312679
80,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, shift-1, double-bridge",652.5094986,712.1657606,32.9205888,3.124041667,0.017719471
81,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"2-opt, or-opt-3, double-bridge",1186.26947,1290.434451,59.82560422,2.199333333,5.61E-06
82,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, or-opt-3, double-bridge",1049.5404,1158.069455,67.13255126,2.212956522,4.03E-05
83,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, or-opt-3, double-bridge",671.1929343,730.9596683,31.975814,2.183361111,0.003251984
84,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"2-opt, reinsertion, swap-2-2",1133.228075,1231.252789,54.61421046,2.299839506,0.054605768
85,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"2-opt, reinsertion, swap-2-2",1018.474639,1117.26554,60.17419098,2.340043478,0.035849373
86,Set P,576,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,"2-opt, reinsertion, swap-2-2",637.3794079,687.154339,28.42896995,2.331513889,0.331334907
87,Set A,1045,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,"swap-2-1, reinsertion, swap-2-2",1157.154458,1262.000242,52.72551678,3.351395062,1.37E-05
88,Set B,971,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,"swap-2-1, reinsertion, swap-2-2",1055.839887,1150.116098,56.5293569,3.533028986,2.70E-05
