,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
31,B-n39-k5,549,1598.076934363425,1767.5654985764922,1682.8212164699585,84.74428210653366,0.0,"2-opt, exchange, swap-2-2"
32,B-n41-k6,829,2003.1027118258846,2080.6231795041253,2041.8629456650049,38.76023383912036,0.0,"2-opt, exchange, swap-2-2"
33,B-n43-k6,742,1757.9757996924905,1763.8551225196536,1760.9154611060721,2.9396614135814616,0.0,"2-opt, exchange, swap-2-2"
34,B-n44-k7,909,1983.4502829078974,2176.8480020169573,2080.1491424624273,96.69885955453016,0.005,"2-opt, exchange, swap-2-2"
35,B-n45-k5,751,2057.7910266362114,2262.249173954089,2160.0201002951508,102.22907365893913,0.005,"2-opt, exchange, swap-2-2"
36,B-n45-k6,678,1562.1047443377404,1669.5914567143375,1615.8481005260392,53.743356188298435,0.005,"2-opt, exchange, swap-2-2"
37,B-n50-k7,741,2186.5056043238337,2309.230884255378,2247.868244289606,61.362639965771905,0.01,"2-opt, exchange, swap-2-2"
38,B-n50-k8,1313,2410.023566272213,2526.5555504920985,2468.289558382156,58.26599210994255,0.01,"2-opt, exchange, swap-2-2"
39,B-n51-k7,1032,2973.8478342113194,3094.6161406449883,3034.2319874281543,60.38415321683442,0.005,"2-opt, exchange, swap-2-2"
40,B-n52-k7,747,2566.8975971183245,2584.8065405789457,2575.852068848635,8.954471730310841,0.01,"2-opt, exchange, swap-2-2"
41,B-n56-k7,707,2480.5253454796025,2648.8487234176864,2564.687034448644,84.16168896904196,0.0,"2-opt, exchange, swap-2-2"
42,B-n57-k7,1153,3163.1475141732353,3514.7055652547656,3338.9265397140007,175.7790255407651,0.005,"2-opt, exchange, swap-2-2"
43,B-n57-k9,1598,3223.3179628679645,3281.3856580575707,3252.3518104627674,29.03384759480286,0.005,"2-opt, exchange, swap-2-2"
44,B-n63-k10,1537,3384.866558770251,3729.891755487512,3557.379157128881,172.51259835863013,0.01,"2-opt, exchange, swap-2-2"
45,B-n64-k9,861,2605.9735484476714,2880.055254523753,2743.0144014857124,137.04085303804095,0.01,"2-opt, exchange, swap-2-2"
46,B-n66-k9,1374,3440.957417111384,3498.24929913115,3469.603358121267,28.645941009883245,0.01,"2-opt, exchange, swap-2-2"
47,B-n67-k10,1033,2994.93413048736,3118.30740085445,3056.6207656709053,61.68663518354492,0.01,"2-opt, exchange, swap-2-2"
48,B-n68-k9,1304,3347.1507803273107,3659.073102775841,3503.111941551576,155.96116122426497,0.01,"2-opt, exchange, swap-2-2"
49,B-n78-k10,1266,3920.4128309302578,4001.8923552058695,3961.152593068064,40.73976213780588,0.01,"2-opt, exchange, swap-2-2"
50,P-n101-k4,681,3151.181278347063,3183.2009590769603,3167.1911187120118,16.009840364948786,0.005,"2-opt, exchange, swap-2-2"
51,P-n16-k8,435,526.4926752638172,549.9312385877346,538.2119569257759,11.71928166195869,0.0,"2-opt, exchange, swap-2-2"
52,P-n19-k2,212,383.4507659974842,398.7182000783673,391.08448303792574,7.633717040441581,0.0,"2-opt, exchange, swap-2-2"
53, P-n20-k2,220,403.5649004104756,423.43039534414817,413.4976478773119,9.932747466836304,0.0,"2-opt, exchange, swap-2-2"
54,P-n21-k2,211,412.8205443439624,435.6256934325871,424.2231188882748,11.402574544312358,0.0,"2-opt, exchange, swap-2-2"
55,P-n22-k2,216,417.18712212749534,453.67490387594324,435.4310130017192,18.24389087422395,0.0,"2-opt, exchange, swap-2-2"
56,P-n22-k8,603,775.1401342956333,833.2970120803502,804.2185731879918,29.07843889235841,0.0,"2-opt, exchange, swap-2-2"
57,P-n23-k8,554,679.7676127255966,729.0161701379487,704.3918914317728,24.624278706176142,0.0,"2-opt, exchange, swap-2-2"
58,P-n40-k5.vrp,458,1130.3106633907764,1161.554659543392,1145.9326614670842,15.621998076307818,0.0,"2-opt, exchange, swap-2-2"
59,P-n45-k5,510,1207.0431925005796,1394.4777939884393,1300.7604932445092,93.71730074392995,0.0,"2-opt, exchange, swap-2-2"
60,P-n50-k10,696,1482.8278647699078,1500.6679350430334,1491.7478999064706,8.920035136562772,0.01,"2-opt, exchange, swap-2-2"
61, P-n50-k7,554,1422.0610647288308,1461.0086994283358,1441.5348820785835,19.473817349752377,0.0,"2-opt, exchange, swap-2-2"
62,P-n50-k8,649,1456.5997630286402,1487.3058036805755,1471.9527833546076,15.353020325967805,0.01,"2-opt, exchange, swap-2-2"
63,P-n51-k10,745,1464.6877019713013,1620.330582002058,1542.5091419866794,77.82144001537836,0.02,"2-opt, exchange, swap-2-2"
64,P-n55-k10,669,1630.2729079516128,1720.5190689238407,1675.3959884377268,45.123080486113956,0.01,"2-opt, exchange, swap-2-2"
65,P-n55-k15,856,1707.5678091450875,1780.0697779950967,1743.8187935700919,36.2509844250045,0.01,"2-opt, exchange, swap-2-2"
66,P-n55-k7,524,1566.5155548830246,1568.0500120593865,1567.2827834712054,0.767228588180842,0.005,"2-opt, exchange, swap-2-2"
67,P-n55-k8,576,1558.5914317956076,1582.2992326801966,1570.4453322379022,11.853900442294275,0.0,"2-opt, exchange, swap-2-2"
68,P-n60-k10,706,1718.537907492666,1856.6044271061066,1787.5711672993864,69.03325980672037,0.01,"2-opt, exchange, swap-2-2"
69,P-n60-k15,905,1968.5462153611209,1979.8260504788705,1974.1861329199953,5.639917558874573,0.01,"2-opt, exchange, swap-2-2"
70,P-n65-k10,792,2009.6711639785917,2012.0144831578787,2010.842823568235,1.1716595896436957,0.005,"2-opt, exchange, swap-2-2"
71,P-n70-k10,834,2260.076306663402,2284.157264496552,2272.116785579977,12.040478916574786,0.01,"2-opt, exchange, swap-2-2"
72,P-n76-k4,589,2392.0352101554668,2413.884650498616,2402.959930327041,10.924720171574789,0.01,"2-opt, exchange, swap-2-2"
