,fileName,Name,Best Solution Cost,Optimal Value,Run Time
23,results00_crossDoubleBridge_levy6.csv,A-n64-k9,2087.299949993428,1402,6.02
24,results00_crossDoubleBridge_levy6.csv,A-n65-k9,2052.40336313037,1177,5.79
25,results00_crossDoubleBridge_levy6.csv,A-n69-k9,2232.2587431101247,1168,7.63
26,results00_crossDoubleBridge_levy6.csv,A-n80-k10,2727.452687784285,1764,6.26
27,results00_crossDoubleBridge_levy6.csv,B-n31-k5,793.4697452433228,672,5.14
28,results00_crossDoubleBridge_levy6.csv,B-n34-k5,1211.4366432064028,788,4.47
29,results00_crossDoubleBridge_levy6.csv,B-n35-k5,1327.5258207005272,955,4.73
30,results00_crossDoubleBridge_levy6.csv,B-n38-k6,1076.6857860487946,805,5.21
31,results00_crossDoubleBridge_levy6.csv,B-n39-k5,907.8401001123956,549,4.83
32,results00_crossDoubleBridge_levy6.csv,B-n41-k6,1239.3093029650545,829,5.29
33,results00_crossDoubleBridge_levy6.csv,B-n43-k6,1051.2078780354732,742,4.91
34,results00_crossDoubleBridge_levy6.csv,B-n44-k7,1394.6016778095777,909,5.16
35,results00_crossDoubleBridge_levy6.csv,B-n45-k5,1115.7261322897843,751,5.23
36,results00_crossDoubleBridge_levy6.csv,B-n45-k6,862.4688391212692,678,5.12
37,results00_crossDoubleBridge_levy6.csv,B-n50-k7,1009.8907259404616,741,5.24
38,results00_crossDoubleBridge_levy6.csv,B-n50-k8,1581.3531325250199,1313,5.65
39,results00_crossDoubleBridge_levy6.csv,B-n51-k7,1661.3721457961344,1032,5.2
40,results00_crossDoubleBridge_levy6.csv,B-n52-k7,1132.957606032523,747,5.66
41,results00_crossDoubleBridge_levy6.csv,B-n56-k7,1115.2281750093075,707,5.25
42,results00_crossDoubleBridge_levy6.csv,B-n57-k7,1962.3264166199021,1153,5.46
43,results00_crossDoubleBridge_levy6.csv,B-n57-k9,2030.304975312526,1598,5.67
