,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
21,A-n63-k10,1315,3114.703283004002,3277.1733223967954,3195.9383027003987,81.23501969639665,0.01,"2-opt, reinsertion, swap-2-2"
22,A-n63-k9,1634,3872.5301090273447,3935.0979273951875,3903.814018211266,31.283909183921423,0.01,"2-opt, reinsertion, swap-2-2"
23,A-n64-k9,1402,3206.1830826373007,3250.11281044836,3228.14794654283,21.964863905529683,0.01,"2-opt, reinsertion, swap-2-2"
24,A-n65-k9,1177,3510.377217536699,3579.0221335463125,3544.6996755415057,34.322458004806776,0.015,"2-opt, reinsertion, swap-2-2"
25,A-n69-k9,1168,3532.9145615477073,3557.434472932094,3545.1745172399005,12.259955692193444,0.01,"2-opt, reinsertion, swap-2-2"
26,A-n80-k10,1764,4558.473733648669,4621.469356264423,4589.9715449565465,31.497811307877328,0.01,"2-opt, reinsertion, swap-2-2"
27,B-n31-k5,672,1129.9098732932696,1172.4392127691547,1151.1745430312121,21.26466973794254,0.005,"2-opt, reinsertion, swap-2-2"
28,B-n34-k5,788,1524.148166626373,1537.556092001637,1530.852129314005,6.703962687631929,0.005,"2-opt, reinsertion, swap-2-2"
29,B-n35-k5,955,2158.781494542072,2196.1254947227158,2177.453494632394,18.672000090321944,0.01,"2-opt, reinsertion, swap-2-2"
30,B-n38-k6,805,1649.313989638061,1741.7868038013135,1695.5503967196873,46.236407081626226,0.01,"2-opt, reinsertion, swap-2-2"
31,B-n39-k5,549,1772.9476088809038,1890.9988862954547,1831.9732475881792,59.02563870727545,0.005,"2-opt, reinsertion, swap-2-2"
32,B-n41-k6,829,2096.190266120568,2219.8229875877914,2158.0066268541796,61.816360733611646,0.01,"2-opt, reinsertion, swap-2-2"
33,B-n43-k6,742,1673.1230138826797,1737.7133506474331,1705.4181822650564,32.29516838237669,0.005,"2-opt, reinsertion, swap-2-2"
34,B-n44-k7,909,2098.8687918634296,2227.3539908128187,2163.111391338124,64.24259947469454,0.0,"2-opt, reinsertion, swap-2-2"
35,B-n45-k5,751,2211.8566550841256,2212.5343126654084,2212.195483874767,0.3388287906414007,0.01,"2-opt, reinsertion, swap-2-2"
36,B-n45-k6,678,1680.9522816703393,1689.6758601624329,1685.314070916386,4.361789246046783,0.005,"2-opt, reinsertion, swap-2-2"
37,B-n50-k7,741,2418.7340716527,2450.315462407448,2434.524767030074,15.79069537737405,0.0,"2-opt, reinsertion, swap-2-2"
38,B-n50-k8,1313,2518.5815841527533,2531.747252242938,2525.1644181978454,6.582834045092341,0.0,"2-opt, reinsertion, swap-2-2"
39,B-n51-k7,1032,2968.0753698226267,2989.0755989309364,2978.575484376782,10.500114554154834,0.01,"2-opt, reinsertion, swap-2-2"
40,B-n52-k7,747,2609.0685049035387,2669.0789415278805,2639.07372321571,30.005218312170882,0.015,"2-opt, reinsertion, swap-2-2"
41,B-n56-k7,707,2458.2206416197578,2633.467973977871,2545.8443077988145,87.62366617905673,0.01,"2-opt, reinsertion, swap-2-2"
42,B-n57-k7,1153,3229.5942842436534,3329.3245546199423,3279.459419431798,49.86513518814445,0.01,"2-opt, reinsertion, swap-2-2"
43,B-n57-k9,1598,3078.255897311747,3198.608542572374,3138.4322199420603,60.17632263031351,0.01,"2-opt, reinsertion, swap-2-2"
